Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100nF,C_0402_1005Metric,186.625,-90.35,-90.0,top
C202,1uF,C_0603_1608Metric,185.025,-90.35,-90.0,top
C203,1uF,C_0603_1608Metric,224.4,-104.0,-90.0,top
C204,10uF,C_0805_2012Metric,205.0,-133.7,180.0,top
C205,100nF,C_0402_1005Metric,205.2,-127.8375,180.0,top
C206,10uF,C_0805_2012Metric,205.2,-126.2375,180.0,top
C207,1uF,C_0603_1608Metric,186.6392,-95.4024,-90.0,top
C301,1uF,C_0603_1608Metric,216.1,-96.6,180.0,top
C304,100nF,C_0402_1005Metric,216.0,-116.0,-90.0,top
C305,100nF,C_0402_1005Metric,213.65,-116.85,0.0,top
C402,10uF,C_0805_2012Metric,194.4,-127.9,180.0,top
C403,1uF,C_0603_1608Metric,194.2,-129.7,180.0,top
C404,33pF,C_0603_1608Metric,196.2,-134.2,90.0,top
C405,10uF,C_0805_2012Metric,191.0,-124.5,0.0,top
D201,KT-0805Y,LED_0603_1608Metric,204.5125,-122.4,0.0,top
D202,B5817W,D_SOD-123,212.0,-131.925,0.0,top
D203,KT-0805Y,LED_0603_1608Metric,203.7,-116.49,0.0,top
D204,KT-0805Y,LED_0603_1608Metric,203.75,-114.75,0.0,top
D205,B5817W,D_SOD-123,216.3575,-127.2,0.0,top
D401,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,168.75,-125.1,0.0,top
D402,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,168.75,-109.6,-90.0,top
D403,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,161.0,-101.9,90.0,top
D404,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,153.2,-109.6,90.0,top
D405,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,161.0,-117.4,180.0,top
D406,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,160.9,-132.9,90.0,top
D407,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,153.2,-125.1,0.0,top
D408,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,147.6,-125.1,0.0,top
D409,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,147.7,-109.6,90.0,top
