Comment,Designator,Footprint,LCSC
1k,"R204,R206,R208,R305,R401,R403,R404,R405,R409",R_0402_1005Metric,C11702
100nF,"C201,C205,C304,C305",C_0402_1005Metric,C1525
ZXMP3A13FTA,"Q201,Q401",SOT-23-Alt,C156326
1uF,"C202,C203,C207,C301,C403",C_0603_1608Metric,C15849
10uF,"C204,C206,C402,C405",C_0805_2012Metric,C15850
33pF,C404,C_0603_1608Metric,C190578
KT-0805Y,"D201,D203,D204,D430",LED_0603_1608Metric,C2296
100k,"R202,R203,R205,R207",R_0402_1005Metric,C25741
10k,"R201,R301,R302,R303,R304,R402,R406,R408",R_0402_1005Metric,C25744
5K1,"R209,R210",R_0402_1005Metric,C25905
"PCF8523T_1,118",U301,SOIC127P600X175-8N,C2651516
ESP32-S3-WROOM-1(N4),U201,ESP32S3WROOM1N8R8,C2913197
RT5760CHGH6F,U401,SOT-563,C2976591
XKB Tactile,"SW201,SW202,SW401,SW402",XKB Tactile SW,C318879
51k,R407,R_0402_1005Metric,C319542
1054500101,J206,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C393939
4.7uH,L401,GLE GCNR4030 4mmx4mm Inductor,C439356
LSM6DSOXTR,U302,LSM6DSOX,C481766
AP2112K-3.3,U202,SOT-23-5,C51118
BH-AA-A5BJ012,"J202,J203,J204,J205",MYOUNG AA Bat Holder,C5290180
B5817W,"D202,D205",D_SOD-123,C8597
PS1440P02BT,LS401,PS1240P02BT,C96060
WS2812B-2020,"D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D418,D419,D420,D421,D422,D423,D424,D425,D426,D427,D428,D429",LED_WS2812B-2020_PLCC4_2.0x2.0mm,C965555
Seiko 32.768kHz,Y301,Seiko Crustal,C99009
Conn_02x12_Odd_Even,J201,PinHeader_2x12_P2.54mm_Vertical_SMD,
Conn_01x04_Pin,J402,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x04_Pin,J301,128x32_OLED_Breakout,
